Order_ID,Phone_Number,Payment_Method,Transaction_Status
6137ecf8-a6c4-4d14-bf43-683f55037c99,(960)544-2070,Debit Card,pending
89016613-cb1f-456a-b5e7-9896ef66f516,834.498.8383x081,Credit Card,completed
137a013b-686a-4351-b163-e9726c0c167f,(499)850-8208x53130,PayPal,pending
622afd4b-90cb-4664-8163-94bd3f1a9c49,451-972-1410,Debit Card,pending
07fc8a1e-7a1f-4ec9-b51c-9191ecd7d909,(722)371-7468,Credit Card,completed
8046ca18-62bd-4535-81bb-bf0dc3713a9a,417-233-4196x172,Debit Card,pending
d0d7abf0-c1c2-4f23-8916-d15d5bdd0d55,001-546-333-7614x9104,Credit Card,completed
8b319197-3ce7-4ce7-8ccd-325a3c215fd1,364-315-6436x034,Debit Card,completed
dfb71ec8-0db1-4383-9d87-4dc8a86fd451,(919)221-1185x3590,Debit Card,completed
ed3a539e-70ea-41d5-9e50-b63e3274a6ee,001-436-486-1091x87232,PayPal,completed
51105095-b245-42be-a65b-783a32cca644,(925)723-0473x4553,Credit Card,completed
716a887b-e315-4a20-9c54-72a939bf1b12,427-231-9772x80666,PayPal,completed
a41e2ba4-0941-4e7b-9968-f885aa291f34,(614)997-1044x023,Credit Card,pending
77acbd6c-18b6-408c-82d9-8f847d06cf3c,438-964-5464x872,Credit Card,pending
ea276728-b431-44fb-9abb-5ad2a3af8106,602-880-3131x7465,PayPal,pending
8c754ac5-620d-4c72-a324-8401ce5f2e64,001-825-472-2038,Credit Card,pending
623fe2b0-4523-42d2-8678-4a293e0feaee,(269)273-1094,PayPal,completed
f4033a1f-1dff-420a-8ba5-90a47c702011,336.860.7807,PayPal,pending
b6524b21-4a94-4563-bc3c-482c22dc5f46,8357485893,Debit Card,completed
ee8d4f90-6047-4413-a367-aaa377cf1d4b,001-624-381-7594x1784,Debit Card,completed
994f6045-6344-4716-9ec4-790a37a421c7,001-410-830-1982x453,Credit Card,completed
7d01ec9b-ab07-4097-a51f-44bd3b2ed19e,+1-939-550-0527,Debit Card,pending
b1e24b38-98c0-498a-a7db-4b4e22237f19,(571)395-4051x87322,PayPal,completed
c2754525-3585-47fa-a969-620515459824,001-804-938-4607x899,Credit Card,completed
b5e8420e-ffcb-47b4-8abf-a58dd861d9df,+1-988-965-9196x11104,PayPal,completed
867cdcee-517c-4bc9-b2a0-6cd75c0bb320,+1-660-764-8233x615,Debit Card,pending
9835ecc8-76c3-49f1-a589-55bba2647fed,276-397-9672x6258,Credit Card,completed
b9eddd78-683f-46dd-9150-40180d07981c,305-740-8371x536,Credit Card,pending
8bd73181-8ee6-4217-a84f-5c785e270eaa,498-346-4823x88928,Credit Card,completed
a64e6e4d-202e-416f-bd25-184be7a736a0,001-733-534-0254x16308,PayPal,pending
57b0fbe8-ebb9-4959-8b29-743f0282d095,683-550-0704x554,Credit Card,pending
1803782f-2e72-4de3-bd22-2ca1d418631c,(649)310-3823x6118,Credit Card,completed
c47c4e49-8b45-4e1d-a753-241229411039,001-714-744-3758x16345,PayPal,completed
c78899f3-69af-4220-a612-ae7386c0535e,328-337-8401x5094,PayPal,pending
3d594022-e3c0-43b8-9135-f285de0dc550,(743)655-0702x834,PayPal,pending
6e76489a-61c7-4a38-86ff-50d9384dd91c,387-750-7786x7376,Credit Card,completed
bd2ed25c-ec93-4e22-8cac-c30ee099eb2b,+1-480-559-8295x878,Credit Card,pending
aaff32d2-6147-4556-87ba-5657c8f7943c,988-596-5209,PayPal,completed
a23382b9-4283-4c87-aa8e-2e1ff0e7ed15,819-868-9528x76674,Credit Card,pending
97112199-2137-4247-9c29-f7ba157d3096,320-847-3376,Credit Card,completed
de31f253-97cb-4795-82dc-83fe3f395b44,(833)407-3793x92721,Credit Card,pending
e5153a09-b24f-42b3-98e7-ff88f69fc116,(449)933-6964,Credit Card,pending
1d47d0ba-6d65-43a4-ac91-752063020901,313-762-8118,Debit Card,completed
9a10c20a-c3a1-43aa-9644-89d2a4e97f2a,655-967-5239x39247,Debit Card,completed
13fc310b-aa28-42da-b771-456f3cf71e73,(595)319-7303x98179,Credit Card,pending
d5e5d424-7948-4e2d-b716-0f98239a52f0,521.704.1292x3793,Debit Card,pending
b08a89e4-41dc-4f92-8d5f-d9c6bb1cfdeb,2314025968,Credit Card,pending
10e32f48-9bd6-481e-a2d5-92e1835755fe,797.454.5917x751,Debit Card,completed
049c8752-d11a-4962-ab90-4270f26573b9,+1-909-446-6899x834,Debit Card,completed
ecd1a03c-5ae9-48d2-a30f-e5ac89168084,(724)536-1988,Credit Card,pending
a5a06821-14b7-4116-bcbf-a0eef763cfe2,723-981-8153,Debit Card,pending
726e54af-f716-4294-ab80-bde0a3e19599,536-730-3394x816,Credit Card,completed
2a2ec688-4777-4ffb-aa67-d63ab1985d3d,001-838-446-1853x136,Debit Card,pending
11505a69-2d39-4acd-91d8-1ef69d728d15,001-884-953-2154x5074,Debit Card,completed
e5a4e5a8-0fdd-4d1a-810d-91a49ea5faeb,+1-649-285-3870,PayPal,pending
9e3c47c5-e1b0-4e57-855a-15fdca2a7358,948.845.3237x44384,Credit Card,pending
c4bad437-fdfc-4dc2-8792-bbaf84c3ac9d,320.468.5276,PayPal,completed
adf03920-669d-4f4f-89f6-7e65c1dfb563,+1-371-242-1099x7081,Credit Card,pending
3fa8ea6f-5345-4fea-a083-34f468e0f60a,(891)669-7131x1070,Debit Card,completed
1c259bdc-0dc7-4883-9691-e2decb61822f,608-367-5668x16244,Credit Card,pending
a8d887f1-bfaa-43ad-98cc-3c89b5dcfa9a,889.678.8398,PayPal,completed
1d4c0229-862b-4157-a525-9d0a16615ca7,7333585175,Credit Card,completed
1169f725-6b09-4e19-8859-7cf53656ee9e,744.722.6742,PayPal,pending
2857a8be-0feb-4ef9-9069-83184e3f1600,7586300736,Credit Card,pending
1a66fcd7-07bc-4a04-aeba-df1a1fd9f8ea,9447800416,Debit Card,pending
5489aae2-3aa1-45a8-87ad-6378dcc16b1f,001-202-584-7132x8341,Credit Card,pending
86ea2c98-f0d4-45af-828e-4d93773902d6,(693)346-9069x6412,Debit Card,pending
7aadec5c-95d0-45c6-9e0c-6a4afd248222,663.708.8505x671,Credit Card,completed
c5034c3f-c88f-4f28-af5b-2fd8086288a4,(652)267-9793x216,PayPal,pending
8aad76bd-3679-46ab-9ac5-463c57ae0a90,+1-966-752-9854x29491,PayPal,pending
62cf3ba5-9c73-43c5-8f85-3abe76bb03c7,847-831-2268,PayPal,completed
a09072a1-f47f-4400-bf78-b2e66d1e8e10,+1-793-469-2889,Credit Card,pending
ba80f680-5d3b-4327-9ad9-b3e5b7dc25f9,6257383643,PayPal,pending
49cd78a7-bb2e-425f-a67a-dc2b40bfff7c,001-312-931-1970x37992,Credit Card,completed
3b5ec143-13a0-48ca-954a-1d4a8127023b,(992)454-6000x70863,Debit Card,completed
b7f82208-4505-4505-8af9-4955989c45e0,722-532-1684x9365,Debit Card,completed
6e3a594c-2451-4381-893b-cff916e4c70f,2153694412,Debit Card,pending
c36b523d-fe02-45d5-8c15-8bcfdea23e30,869-850-5537x551,Debit Card,pending
26bf60b5-cf29-42c8-9218-3ef994ce32c3,424-605-6993,Debit Card,pending
311911c6-6ba9-4c70-8fda-69bd9e8f6c8f,+1-771-490-9324x8416,PayPal,completed
425d036e-0a3c-4cd0-8ffa-57d8025acd22,(912)818-3462x99068,Credit Card,pending
e273baa7-217e-4360-beea-9aa7bdebb7b7,578.367.9564,Debit Card,completed
5d583e28-ba05-43de-8e1a-9587a0db5c67,+1-267-600-7565x2157,PayPal,completed
ede2554f-e412-4102-a887-5925726cda22,(427)252-4775,Debit Card,completed
c2f96054-f536-4ea3-ae7a-f45e4a5755aa,(603)660-2419,Credit Card,completed
9489de37-e1ff-4477-b465-a26c90c91244,313-895-3312x8885,Debit Card,pending
83ed0b81-ef36-4da7-b902-01139d8c03de,9722475861,Credit Card,pending
582c886f-a890-42d5-adbe-020aabe52baf,+1-701-853-0657,PayPal,completed
5faa7024-eff8-483c-8cd9-6fb99dd3d9f1,9896425328,Debit Card,pending
c32e292b-ebba-48c0-a675-a1ccb5faf4be,(946)342-8925,Debit Card,completed
3c780f69-7b48-419c-ab9b-6242ad875c81,392.845.1992x937,PayPal,completed
62c6a0aa-98ae-460c-90f5-c4defa1e290c,(533)978-6207,PayPal,pending
3ab3e083-d06b-4674-894f-3af4b88d595a,001-420-443-9172,Debit Card,pending
14fce714-a507-471b-914e-8d164f2d34ea,001-205-325-5986x53149,Credit Card,pending
3188f0f4-4664-40bf-a661-89d841d251f4,349-219-1888x2595,Credit Card,pending
aececef3-9452-48af-9c4d-8ccf67ed7ce1,(476)290-0729,Debit Card,completed
d8cc0e34-4e88-40e9-ab89-9a2f64c4d57f,(852)272-2351x43269,Credit Card,completed
bf6bc8b9-d4fc-4947-ab8c-c25fb3b0d4c3,241.348.1225,Debit Card,pending
3d1ba566-b3bc-4957-9ec7-9153ee180efd,001-827-425-9775x795,Debit Card,completed
6e36ffdf-2f42-4516-9418-344b0d71ff4e,(976)804-8712,PayPal,completed
aba764d3-1924-40fe-b104-c42803bc680a,254.680.0070x40910,Credit Card,completed
1678ddab-9a7e-42cc-821f-dd3137239dc5,351.375.8419x25778,PayPal,pending
2f201581-c63b-420a-a1f7-60be8953c85b,365.590.3360x50107,Credit Card,completed
9dc28170-d075-43e2-b411-8d58ab0dd99f,473-324-1205x433,Debit Card,pending
896ed392-dd11-4a3e-8e1a-b822ff9b0278,229-559-9850x0285,Credit Card,completed
4e997e06-9f6d-4bf5-8c2b-7daeb8092e14,370.748.7000,PayPal,completed
70c64ead-8a7a-464b-88bc-672efb07e0f2,001-766-805-1438x5656,PayPal,pending
88fef3a8-eb93-4797-bb6e-e74bbb82c56f,272.737.7070x8011,Credit Card,pending
9d9fcf29-9ea0-4082-885f-3fd65733cf64,639.773.1803x56158,Credit Card,completed
e1e9156a-b3ca-400a-af1c-0733032d30ef,541-203-6609,Credit Card,pending
f97dc885-eb31-46e1-b88b-a278e76162ce,420-797-9480x045,PayPal,pending
3041828a-6eb2-4126-9f52-a397d32419bb,899.642.6959x0270,Credit Card,completed
266575d4-103e-4658-969a-6da741e40c7f,483-788-1974x319,Credit Card,completed
22be3513-9e31-44de-955f-4653f96dc9c2,+1-577-465-7135x98617,Debit Card,pending
79c7782e-ccf6-4227-8a19-0577c8ba1ceb,+1-658-807-3878x407,PayPal,completed
6af841ad-0efa-418d-9175-850cb2133caa,645.523.8896x254,Debit Card,completed
9290676d-5d03-4d4f-a7eb-2f2aac81ef52,(321)410-2091x78020,Debit Card,completed
5aa24a4f-3a99-4e9d-b2fd-57abf7ea4a38,001-406-471-6917,Credit Card,pending
d660873e-b05a-464c-b961-3e22e3d808cd,9528018258,PayPal,pending
97a4df25-6b0a-4ac6-af41-f285db809525,(604)625-0371x6484,PayPal,pending
c1646719-2de3-4fd8-9a8d-b418e99b52a6,(455)950-9356,Credit Card,pending
ffbe7f82-8ac9-4015-a4a0-c29929109895,001-275-597-3432,Debit Card,completed
39452d62-ec84-4b86-8fa3-1679ea63ef51,6235556099,Credit Card,pending
f3b69cf8-ce6a-4b01-a7c8-6349f8bceadd,+1-414-541-4231x4951,Debit Card,completed
1b00c7ff-885c-4de8-a4ef-85e71d840186,001-936-779-2471x4175,PayPal,pending
07bd1931-0ea4-43d3-883b-1596906ea3ea,204.918.0948,Credit Card,completed
3d9bada8-8ab2-4859-b564-cab9c09bd749,001-200-210-8623x1626,Credit Card,completed
53b9890f-bf92-433e-be2b-b3a7557dcc3b,914.714.1030,PayPal,pending
ac6afc64-f2ae-46cb-81ed-4b09aed04bcc,201-282-1271x78720,PayPal,completed
d0d0c26d-de9f-4207-afbb-80f5332bed38,(323)985-8369,PayPal,pending
014e0bdd-2164-4bd4-82fd-cae6e15f3ca7,001-634-587-7158,Credit Card,completed
26e84a4c-c8f6-4c6d-9a34-f2c491bda57c,7086447968,PayPal,completed
ba8aa827-755f-44b0-8a2e-173d549f6d4b,+1-217-464-6175x570,Debit Card,completed
070a430e-7584-4547-bcb7-2f51250cd4db,400.777.8507x9346,Credit Card,completed
b6dd4e28-62a7-4c0f-9cd7-b342a3fb4e8d,6042347711,PayPal,pending
d86c1639-ade8-4165-84be-86e5a7763ac9,001-912-210-4065x68403,Debit Card,completed
b472b6f8-b04b-4f22-a030-f6bb47d0d3f4,001-275-581-8196x4751,Credit Card,pending
73acf56b-9b1d-41d9-b4cc-51303966d095,9585792289,PayPal,completed
5f34f258-2203-4b4e-b7cb-9a248a11db2c,+1-359-526-8179x358,PayPal,completed
310f9654-cb7c-4c53-a93d-ae2bfb8166c4,+1-893-929-8385x82190,Credit Card,pending
60bd7260-1c37-424a-9653-2788068746e2,+1-623-698-4999x2347,Credit Card,pending
1a66e219-bea7-4424-85ee-6ede4fdb291e,(879)510-5462x16754,PayPal,pending
b65c0907-f42f-4ee8-ab9d-bbc9d036dbb7,970-927-3948,PayPal,pending
98779ac6-1300-466a-95e6-1e22d06880bb,+1-722-787-6980x01490,PayPal,completed
634f7d66-5146-42b3-a51c-fd1ecd9eaaea,+1-320-613-3684,PayPal,completed
b8d3d6bf-1a6f-455e-b7b3-ea82d4e87e4f,(883)646-7185x2645,PayPal,completed
677ddb28-4027-4cbf-ba69-94605b723eb1,242.947.4312x5153,Debit Card,completed
7bc41283-dbfe-48b4-931f-bda079d37bc7,001-289-311-1663,Credit Card,pending
73ff105c-7ff8-4e8d-9930-edafaf7caa77,248.353.0546,PayPal,completed
1a0726ea-cbe1-4c92-96fe-da875cbbade4,8692886396,Debit Card,completed
8317261a-ed9b-465e-af8d-539822008c8d,(691)314-7688x845,Credit Card,pending
e052f597-f197-494b-9168-8c14c9b1d79d,(399)432-9293x8729,Credit Card,pending
9e4b0897-7b8c-4427-936d-fdad5b7ce4df,838.278.5980x5103,Credit Card,pending
1db6c016-5a11-450a-9046-3016ea0f9d0f,+1-478-592-9091x161,Credit Card,completed
af3270b9-8552-4703-b7f3-5adb96d35464,896.703.5846,Debit Card,pending
8a7ee08b-65ef-4af5-9946-d6c16171c324,633-490-5821x62526,PayPal,pending
8e585b39-3e42-4555-8405-de505f939335,(386)930-8810x78654,Debit Card,pending
282b5854-c77b-4f17-b34a-c3ef10f570cf,534.366.5007,Credit Card,completed
d857e858-cde6-4e5e-b225-fa6fef100dc3,206-536-6697x7170,Debit Card,completed
2ad1d23b-0e40-4cc3-9cb9-026463b54d8d,(240)353-9482,PayPal,pending
162368a6-6018-446b-997a-dada9283a81e,227-221-3353x377,Credit Card,pending
7d31a595-8304-46db-9a38-ea4f08e344cf,754-469-7312x849,Credit Card,completed
c38256ea-4299-4eb0-a661-4f7b77fc3ed5,956.338.1142,Credit Card,pending
deff689d-7ff8-4c86-bc84-794a2c1095b2,001-916-790-3265x97637,PayPal,pending
85b28ba1-a108-44f0-ab4a-ae1d8f08e63e,(362)203-6835,Debit Card,completed
375a0950-7943-4277-a28e-f226d1622bb0,(465)463-5599x6101,PayPal,completed
c342ece5-c107-4340-bcc6-7d453fa18616,(768)925-8016,PayPal,completed
fad5c6ad-d3d9-4440-940f-59e3780b7b76,863.599.0256x81771,PayPal,completed
8565e3af-7055-4f93-95c4-918ad3577552,393-970-6410x01741,Credit Card,completed
95dee7fc-b9d2-458d-b6f1-21d456e11ce2,2215656938,Debit Card,completed
827a01df-0d6b-4af1-b758-de9452cab626,723-213-9476x9167,Credit Card,pending
0b571005-98e4-415f-b714-8fb2d65ea42d,+1-229-753-4279x8191,Debit Card,pending
2222e3ef-e0ba-4083-bd49-976d823096fd,682-404-8181x8743,Debit Card,completed
aabf8c36-61d4-4354-a2d1-560affb8745d,232-983-4953x9903,Debit Card,completed
6ba21257-1a1d-4919-a18e-a4b9bf600c72,382.252.1665x77107,Debit Card,completed
284d94a2-0a0f-47fc-acba-65ce9d918a1a,(584)726-9686x390,Debit Card,completed
bf0873f4-ccfc-4608-ab2a-bd8b344c1cf9,617-986-8085x3736,PayPal,completed
dd61c622-fea0-4fe7-b9d6-5ca010fb6f70,001-511-456-5782x051,Credit Card,completed
0f1abcfc-766b-46ef-ad6e-05aad951ed0b,432.797.5433x9016,Debit Card,pending
f492941d-2d27-4982-b71c-4e729a06ad57,3084085763,Debit Card,completed
67459a75-9522-4cd2-9e8c-79acde1ec482,001-475-992-8888x140,PayPal,pending
672cf0d2-d5a9-4273-848a-a575e7cdfbe9,320-773-6898,Credit Card,completed
71f1d0b3-17ca-4524-9b85-13d50ad3c536,311.816.3850x08890,Debit Card,pending
ebf8781d-9498-4f94-a3f2-99ee42987a9b,001-767-751-3556x5120,Credit Card,pending
728965cf-d266-4843-893b-a1adf757b05e,334.329.7215x8655,Credit Card,completed
4739bc62-caf3-4523-b900-7372c3afeecf,217.953.9659x2128,PayPal,completed
345acff4-b58f-4b86-ae12-8973b65027fa,508-649-0887,Debit Card,pending
b5061759-a416-4f2b-a683-6d89467c4cec,669.562.6660x861,Credit Card,pending
8f746752-bb2d-40af-810c-481e360d3c51,(846)361-3468x58962,PayPal,completed
7917bca8-1364-494d-a7c7-64a1907f1c23,001-522-890-1677x410,PayPal,completed
453b86e6-01ba-45dd-bb88-d3b8b58e2329,(324)483-2164,Debit Card,pending
489ab07e-e5c3-4443-b1c7-a812639254c1,001-497-567-0280x043,PayPal,completed
72488bf2-e474-4dc1-8edb-69caf299e683,001-691-904-5276x871,PayPal,pending
319fd463-d4d7-4b13-b428-5ddcae4b3ec8,631-217-4618,PayPal,completed
ef8927a9-b146-4d62-8505-9e3a0be62e6d,529-703-4825,Debit Card,pending
10fe6a90-743c-4318-84d9-60ada00c42e2,561-862-1530,PayPal,pending
cb41cb71-eff6-4053-8938-02d04ee8b7ac,001-239-570-1685x06659,Credit Card,completed
725d9d75-4b58-4131-b922-c03d271ef9bd,+1-257-424-5614,Debit Card,completed
451ba6e5-aa6a-4db5-94a2-e401ef86ad2e,3376283895,PayPal,completed
6053b6b1-8091-4c47-9ab1-002c253fa5ac,203.714.5157x321,Debit Card,completed
010f3849-f40c-481e-a00b-2b8b83f6bd49,(718)609-7497x87011,Credit Card,pending
30ee64dc-a1d4-4f63-af48-41f3549139e2,+1-259-541-3666,Credit Card,completed
ad222114-c3bd-49a4-9e2b-e38e372267cd,4147766762,PayPal,completed
bfe8b8bf-369a-4b0c-ba0f-556ca9c4160c,+1-416-270-5511x04818,Credit Card,completed
14b8c658-0a59-4b47-ad95-894828d825ea,669.516.0275,PayPal,pending
bc1499f5-1408-4408-9ea8-6c4c1f2b0122,764.738.5616x99940,Credit Card,completed
0e65a433-8972-4693-860a-a161f4473d5e,+1-763-788-8740x0871,Debit Card,pending
a4bf082c-3a36-40f1-8f23-07e67e515495,924.389.1204x7053,PayPal,completed
d420b722-774c-4675-bda7-679d62de4b90,408.344.3044x6094,Debit Card,pending
392a5ae5-47c4-4c40-954a-b0c9e4712b07,(658)887-0553x37489,Credit Card,pending
5141f08e-737a-40d1-80d7-11c535c5549c,867.715.1564,PayPal,completed
0b2debc9-a246-4187-9007-02c76be1c2f3,609-436-5619x41135,Debit Card,pending
84a17651-7445-43df-bbea-962dfe60b5dc,9669590771,Debit Card,pending
362a9eaa-2df6-44e3-a290-dcbed57f45ce,742.994.5436,Debit Card,pending
f0cd3a47-c40b-478f-8baf-69280592a06e,001-208-872-0515x681,Credit Card,pending
